--iterations 50   --warmup 5
====================================================================================================
     InLen |   Beam |  Samples/s |   Tokens/s |  PeakMem(MB) |   Avg(ms) |   P95(ms) |   P99(ms)
----------------------------------------------------------------------------------------------------
      1024 |     64 |      27.60 |      82.80 |          0.0 |     36.08 |     43.08 |     48.40
      1024 |    128 |      24.24 |      72.73 |          0.0 |     41.07 |     45.11 |     50.58
      1024 |    256 |      19.39 |      58.18 |          0.0 |     51.38 |     57.67 |     67.34
      1024 |    512 |      12.49 |      37.48 |          0.0 |     79.84 |     86.94 |    727.65
      2048 |     64 |      21.35 |      64.04 |          0.0 |     46.53 |     56.50 |     76.05
      2048 |    128 |      19.19 |      57.57 |          0.0 |     51.78 |     59.80 |    145.64
      2048 |    256 |      12.53 |      37.59 |          0.0 |     79.39 |     83.33 |    235.55
      2048 |    512 |       9.42 |      28.27 |          0.0 |    105.08 |    120.22 |    497.49
      4096 |     64 |      15.33 |      45.98 |          0.0 |     64.53 |     77.39 |    163.07
      4096 |    128 |       7.70 |      23.09 |          0.0 |    129.30 |    178.15 |    266.21
      4096 |    256 |      10.78 |      32.33 |          0.0 |     91.90 |    105.56 |    292.69
      4096 |    512 |       8.92 |      26.75 |          0.0 |    111.54 |    140.60 |    543.86
      8192 |     64 |      10.95 |      32.84 |          0.0 |     89.66 |     97.11 |    102.42
      8192 |    128 |      10.93 |      32.78 |          0.0 |     90.22 |    115.02 |    135.93
      8192 |    256 |       9.20 |      27.59 |          0.0 |    107.44 |    136.05 |    401.04
      8192 |    512 |       6.42 |      19.26 |          0.0 |    154.79 |    180.93 |    465.36
     10240 |     64 |       9.57 |      28.72 |          0.0 |    102.36 |    113.77 |    117.20
     10240 |    128 |       8.38 |      25.13 |          0.0 |    117.35 |    133.51 |    141.08
     10240 |    256 |       7.52 |      22.56 |          0.0 |    131.54 |    172.89 |    304.81
     10240 |    512 |       5.68 |      17.04 |          0.0 |    175.06 |    200.49 |    550.05
====================================================================================================
